code;secondary;primary;secondary_english;primary_english
110;arrozales;cultivos;rice paddy;crops
120;invernaderos;cultivos;greenhouses;crops
130;otros cultivos;cultivos;other crops;crops
140;huertos;cultivos;vegetable gardens;crops
150;barbechos;cultivos;fallows;crops
211;nativo de hoja ancha primario;bosques;native primary broadleaf;forests
212;nativo de hoja ancha renoval;bosques;native broadleaf renoval;forests
221;nativo de conifera primario;bosques;primary conifer native;forests
222;nativo de conifera renoval;bosques;native conifer renoval;forests
231;mixtos primarios;bosques;mixed primary;forests
232;mixtos renovales;bosques;mixed renoval;forests
241;plantaciones de hoja ancha adulta;bosques;adult broadleaf plantations;forests
242;plantaciones de hoja ancha cosechas;bosques;broadleaf plantation crops;forests
251;plantaciones de coniferas adultas;bosques;adult conifer plantations;forests
252;plantaciones de coniferas cosechas;bosques;conifer plantations crops;forests
311;praderas anuales;pastizales;annual grasslands;grasslands
312;praderas perennes;pastizales;perennial grasslands;grasslands
320;otros pastizales;pastizales;other grasslands;grasslands
330;pastizales aridos;pastizales;arid grasslands;grasslands
410;matorrales;matorral;scrub;scrub
420;matorrales arborescentes;matorral;arborescent scrub;scrub
430;suculentas;matorral;succulents;scrub
440;plantacion de matorrales;matorral;bush planting;scrub
450;otros matorrales aridos;matorral;other arid scrub;scrub
510;marismas;humedales;marshes;wetlands
520;pantanos;humedales;swamps;wetlands
530;otros humedales;humedales;other wetlands;wetlands
610;lagos;cuerpos de agua;lakes;water bodies
620;reservorios;cuerpos de agua;reservoirs;water bodies
630;rios;cuerpos de agua;rivers;water bodies
640;oceano;cuerpos de agua;ocean;water bodies
800;superficies impermeables;superficies impermeables;paved surface;paved surface
910;salares;tierras desnudas;salt flats;bare land
920;suelos arenosos;tierras desnudas;sandy soils;bare land
931;suelos rocosos - rocas;tierras desnudas;rocky soils - rocks;bare land
932;suelos rocosos - gravas;tierras desnudas;rocky soils - gravels;bare land
1010;nieve;hielo y nieves;snow;ice and snow
1020;hielo;hielo y nieves;ice;ice and snow
1210;nubes;nubes;clouds;clouds
